Portal,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total de notícias extraídas do portal
CartaCapital,0,0,0,315,171,180,162,97,213,150,429,366,400,425,622,552,0,4082
Classificadas como relevantes [1],0,0,0,5,0,7,2,0,16,0,0,0,0,0,0,0,0,30
Classificadas como não relevantes [0],0,0,0,69,3,169,159,97,178,114,402,17,0,0,1,1,0,1210
Classificadas como dúvida [2],0,0,0,8,0,4,1,0,10,1,2,0,0,0,0,0,0,26
Não classificadas,0,0,0,233,168,0,0,0,9,35,25,349,400,425,621,551,0,2816
Correio do Povo,93,235,188,102,76,116,143,126,159,148,143,366,2284,1359,1160,877,1668,9284
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
Classificadas como não relevantes [0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como dúvida [2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Não classificadas,93,235,188,102,76,116,143,126,159,148,143,366,2284,1358,1159,877,1668,9241
Le Monde Brasil Diplomatique,165,94,212,169,160,154,161,178,236,306,355,737,450,411,388,330,177,6089
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como não relevantes [0],165,94,211,2,1,0,4,104,0,53,0,0,0,0,0,0,0,634
Classificadas como dúvida [2],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Não classificadas,0,0,0,167,159,154,157,74,236,253,355,737,450,411,388,330,177,4048
G1,0,2,3248,3562,4826,1613,1959,1579,1203,1074,1062,2005,3693,6472,813,836,3662,37611
Classificadas como relevantes [1],0,0,73,84,81,152,69,85,2,0,0,9,0,4,0,0,0,559
Classificadas como não relevantes [0],0,2,911,1252,2196,1295,1279,1489,21,0,1,140,4,74,0,0,0,8664
Classificadas como dúvida [2],0,0,31,21,26,33,13,0,0,0,0,0,0,0,0,0,0,124
Não classificadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como relevantes [1],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como não relevantes [0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classificadas como dúvida [2],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Não classificadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
